"busCode","hasBusBunching","trips","percTrips"
"DE700","TRUE",4,0.0363636363636364
"DE701","FALSE",93,1
"DE702","FALSE",110,0.982142857142857
"DE702","TRUE",2,0.0178571428571429
"DE703","FALSE",116,0.958677685950413
"DE703","TRUE",5,0.0413223140495868
"DE704","FALSE",38,0.974358974358974
"DE704","TRUE",1,0.0256410256410256
"DE705","FALSE",95,1
"DE706","FALSE",120,0.96
"DE706","TRUE",5,0.04
"DE707","FALSE",100,0.943396226415094
"DE707","TRUE",6,0.0566037735849057
"DE708","FALSE",101,0.990196078431373
"DE708","TRUE",1,0.00980392156862745
"DE709","FALSE",83,0.976470588235294
"DE709","TRUE",2,0.0235294117647059
"DE710","FALSE",83,0.988095238095238
"DE710","TRUE",1,0.0119047619047619
"DE711","FALSE",115,0.982905982905983
"DE711","TRUE",2,0.0170940170940171
"DE712","FALSE",70,0.972222222222222
"DE712","TRUE",2,0.0277777777777778
"DE713","FALSE",100,0.952380952380952
"DE713","TRUE",5,0.0476190476190476
"DE714","FALSE",100,0.980392156862745
"DE714","TRUE",2,0.0196078431372549
"DE715","FALSE",92,0.978723404255319
"DE715","TRUE",2,0.0212765957446809
"DE716","FALSE",95,0.940594059405941
"DE716","TRUE",6,0.0594059405940594
"DE717","FALSE",76,0.974358974358974
"DE717","TRUE",2,0.0256410256410256
"DE719","FALSE",116,0.983050847457627
"DE719","TRUE",2,0.0169491525423729
"DE720","FALSE",100,0.99009900990099
"DE720","TRUE",1,0.0099009900990099
"DE721","FALSE",106,0.963636363636364
"DE721","TRUE",4,0.0363636363636364
"DE722","FALSE",111,0.965217391304348
"DE722","TRUE",4,0.0347826086956522
"DE841","FALSE",33,1
"DE842","FALSE",25,1
"DE846","FALSE",26,1
"DL039","FALSE",41,0.931818181818182
"DL039","TRUE",3,0.0681818181818182
"DL040","FALSE",12,1
"DL041","FALSE",12,1
"DL300","FALSE",116,1
"DL301","FALSE",123,1
"DL302","FALSE",78,0.975
"DL302","TRUE",2,0.025
"DL303","FALSE",158,0.993710691823899
"DL303","TRUE",1,0.00628930817610063
"DL304","FALSE",191,1
"DL305","FALSE",231,1
"DL306","FALSE",162,0.993865030674847
"DL306","TRUE",1,0.00613496932515337
"DL307","FALSE",326,1
"DL308","FALSE",152,1
"DL309","FALSE",148,1
"DL310","FALSE",239,0.987603305785124
"DL310","TRUE",3,0.012396694214876
"DL311","FALSE",282,1
